2020-08-04 07:54:07,049 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="248bb0b16c5f68ab2c49e1b4822fce03")>
2020-08-04 07:56:42,548 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 07:56:42,548 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 07:56:44,716 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 07:56:44,732 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 07:56:44,783 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test002 操作！
2020-08-04 07:56:46,921 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 07:56:46,946 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 07:56:46,990 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 07:56:49,065 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 07:56:49,066 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 07:56:51,208 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 07:56:51,209 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 07:56:53,345 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 07:56:53,346 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 07:56:55,462 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 07:56:55,517 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289873588576321536
2020-08-04 07:56:55,517 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 07:56:57,537 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='通过']/..") 元素执行点击操作！
2020-08-04 07:56:57,537 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='通过']/..")
2020-08-04 07:56:58,668 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 07:56:58,669 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 08:00:03,885 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="7b83f0b5feb08d936f1d776977944923")>
2020-08-04 08:00:03,885 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 08:00:03,901 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 08:00:03,938 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 08:00:06,017 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 08:00:06,030 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 08:00:06,074 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 08:00:08,170 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
2020-08-04 08:00:08,171 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 08:00:10,269 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="7b83f0b5feb08d936f1d776977944923")>
2020-08-04 08:00:10,269 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 08:00:10,269 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
2020-08-04 08:00:12,386 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 08:00:12,387 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 08:00:14,565 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 08:00:14,609 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 08:00:14,665 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test002 操作！
2020-08-04 08:00:16,777 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 08:00:16,821 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 08:00:16,878 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 08:00:18,952 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 08:00:18,953 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 08:00:21,105 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 08:00:21,105 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 08:00:23,217 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 08:00:23,217 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 08:00:25,317 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 08:00:25,396 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289873588576321536
2020-08-04 08:00:25,396 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 08:00:27,421 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='通过']/..") 元素执行点击操作！
2020-08-04 08:00:27,422 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='通过']/..")
2020-08-04 08:00:28,554 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 08:00:28,555 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 08:00:31,666 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 08:00:31,666 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 08:00:33,734 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='审核通过']") 元素执行点击操作！
2020-08-04 08:00:33,734 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='审核通过']")
2020-08-04 08:00:33,873 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 08:00:33,874 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 08:03:20,026 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="b424d05ea2dcc45959b9352274b82113")>
2020-08-04 08:03:20,026 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 08:03:20,047 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 08:03:20,084 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 08:03:22,160 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 08:03:22,174 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 08:03:22,218 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 08:03:24,322 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
2020-08-04 08:03:24,322 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 08:03:26,415 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="b424d05ea2dcc45959b9352274b82113")>
2020-08-04 08:03:26,421 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 08:03:26,422 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
2020-08-04 08:03:28,544 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 08:03:28,546 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 08:03:30,715 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 08:03:30,747 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 08:03:30,798 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test002 操作！
2020-08-04 08:03:32,911 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 08:03:32,953 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 08:03:33,004 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 08:03:35,072 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 08:03:35,072 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 08:03:37,197 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 08:03:37,198 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 08:03:39,313 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 08:03:39,314 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 08:03:41,430 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 08:03:41,508 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289878909193551872
2020-08-04 08:03:41,509 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 12:08:41,437 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="5e8ff30b9f9aa8ac00179b7b1ce3525d")>
2020-08-04 12:08:41,453 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 12:08:41,467 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 12:08:41,505 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 12:08:43,591 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 12:08:43,634 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 12:08:43,682 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 12:08:45,791 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
2020-08-04 12:08:45,791 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 12:08:47,878 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="5e8ff30b9f9aa8ac00179b7b1ce3525d")>
2020-08-04 12:08:47,882 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 12:08:47,882 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
2020-08-04 12:08:50,010 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 12:08:50,010 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 12:08:52,177 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 12:08:52,193 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 12:08:52,233 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test002 操作！
2020-08-04 12:08:54,371 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 12:08:54,386 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 12:08:54,422 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 12:08:56,487 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 12:08:56,487 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 12:08:58,583 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 12:08:58,583 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 12:09:00,690 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 12:09:00,691 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 12:09:02,810 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 12:09:02,881 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289878909193551872
2020-08-04 12:09:02,881 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 12:09:04,902 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='通过']/..") 元素执行点击操作！
2020-08-04 12:09:04,903 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='通过']/..")
2020-08-04 12:09:06,037 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 12:09:06,038 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 12:09:09,142 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 12:09:09,143 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 12:09:11,222 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='审核通过']") 元素执行点击操作！
2020-08-04 12:09:11,222 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='审核通过']")
2020-08-04 12:09:11,300 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 12:09:11,300 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 12:11:28,027 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="3295a87e519b71bb29fa349aadff43b4")>
2020-08-04 12:11:28,027 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 12:11:28,043 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 12:11:28,081 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 12:11:30,153 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 12:11:30,204 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 12:11:30,278 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 12:11:32,389 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
2020-08-04 12:11:32,389 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 12:11:34,472 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="3295a87e519b71bb29fa349aadff43b4")>
2020-08-04 12:11:34,477 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 12:11:34,478 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
2020-08-04 12:11:36,591 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 12:11:36,592 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 12:11:38,785 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 12:11:38,797 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 12:11:38,835 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test002 操作！
2020-08-04 12:11:40,960 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 12:11:40,995 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 12:11:41,049 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 12:11:43,121 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 12:11:43,121 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 12:11:45,239 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 12:11:45,240 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 12:11:47,365 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 12:11:47,366 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 12:11:49,488 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 12:11:49,549 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289879348202962944
2020-08-04 12:11:49,550 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 12:11:51,569 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='通过']/..") 元素执行点击操作！
2020-08-04 12:11:51,570 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='通过']/..")
2020-08-04 12:11:52,713 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 12:11:52,714 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 12:16:33,746 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="1064d710142e8498727adc76bce35b48")>
2020-08-04 12:16:33,746 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 12:16:33,766 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 12:16:33,806 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 12:16:35,890 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 12:16:35,928 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 12:16:35,976 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 12:16:38,085 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
2020-08-04 12:16:38,085 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 12:16:40,183 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="1064d710142e8498727adc76bce35b48")>
